,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,MSRPbinned,wheels-awd,wheels-4wd,wheels-fwd,wheels-rwd
0,BMW,1 Series M,2011,premium unleaded (required),335.0,6.0,MANUAL,2.0,Compact,Coupe,26,19,3916,46135,Cheap,0,0,0,1
1,BMW,1 Series,2011,premium unleaded (required),300.0,6.0,MANUAL,2.0,Compact,Convertible,28,19,3916,40650,Cheap,0,0,0,1
2,BMW,1 Series,2011,premium unleaded (required),300.0,6.0,MANUAL,2.0,Compact,Coupe,28,20,3916,36350,Cheap,0,0,0,1
3,BMW,1 Series,2011,premium unleaded (required),230.0,6.0,MANUAL,2.0,Compact,Coupe,28,18,3916,29450,Cheap,0,0,0,1
4,BMW,1 Series,2011,premium unleaded (required),230.0,6.0,MANUAL,2.0,Compact,Convertible,28,18,3916,34500,Cheap,0,0,0,1
5,BMW,1 Series,2012,premium unleaded (required),230.0,6.0,MANUAL,2.0,Compact,Coupe,28,18,3916,31200,Cheap,0,0,0,1
6,BMW,1 Series,2012,premium unleaded (required),300.0,6.0,MANUAL,2.0,Compact,Convertible,26,17,3916,44100,Cheap,0,0,0,1
7,BMW,1 Series,2012,premium unleaded (required),300.0,6.0,MANUAL,2.0,Compact,Coupe,28,20,3916,39300,Cheap,0,0,0,1
8,BMW,1 Series,2012,premium unleaded (required),230.0,6.0,MANUAL,2.0,Compact,Convertible,28,18,3916,36900,Cheap,0,0,0,1
9,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,2.0,Compact,Convertible,27,18,3916,37200,Cheap,0,0,0,1
10,BMW,1 Series,2013,premium unleaded (required),300.0,6.0,MANUAL,2.0,Compact,Coupe,28,20,3916,39600,Cheap,0,0,0,1
12,BMW,1 Series,2013,premium unleaded (required),300.0,6.0,MANUAL,2.0,Compact,Convertible,28,19,3916,44400,Cheap,0,0,0,1
13,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,2.0,Compact,Convertible,28,19,3916,37200,Cheap,0,0,0,1
15,BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,2.0,Compact,Convertible,25,18,3916,48250,Cheap,0,0,0,1
16,BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,2.0,Compact,Coupe,28,20,3916,43550,Cheap,0,0,0,1
19,Audi,100,1992,regular unleaded,172.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,20,16,3105,2000,Cheap,1,0,0,0
21,Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,4.0,Midsize,Sedan,21,16,3105,2000,Cheap,1,0,0,0
23,Audi,100,1993,regular unleaded,172.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,20,16,3105,2000,Cheap,1,0,0,0
26,Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,4.0,Midsize,Sedan,21,16,3105,2000,Cheap,1,0,0,0
27,Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,21,16,3105,2000,Cheap,0,0,1,0
28,Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,4.0,Midsize,Sedan,22,16,3105,2000,Cheap,1,0,0,0
29,Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,4.0,Midsize,Sedan,22,17,3105,2000,Cheap,0,0,1,0
30,Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,22,16,3105,2000,Cheap,0,0,1,0
31,Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,21,16,3105,2000,Cheap,1,0,0,0
32,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,2.0,Compact,Convertible,35,26,819,27495,Cheap,0,0,0,1
33,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,2.0,Compact,Convertible,35,26,819,24995,Cheap,0,0,0,1
34,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,2.0,Compact,Convertible,35,26,819,28195,Cheap,0,0,0,1
35,Mercedes-Benz,190-Class,1991,regular unleaded,130.0,4.0,MANUAL,4.0,Compact,Sedan,26,18,617,2000,Cheap,0,0,0,1
36,Mercedes-Benz,190-Class,1991,regular unleaded,158.0,6.0,MANUAL,4.0,Compact,Sedan,25,17,617,2000,Cheap,0,0,0,1
37,Mercedes-Benz,190-Class,1992,regular unleaded,158.0,6.0,MANUAL,4.0,Compact,Sedan,25,17,617,2000,Cheap,0,0,0,1
38,Mercedes-Benz,190-Class,1992,regular unleaded,130.0,4.0,MANUAL,4.0,Compact,Sedan,26,18,617,2000,Cheap,0,0,0,1
39,Mercedes-Benz,190-Class,1993,regular unleaded,130.0,4.0,MANUAL,4.0,Compact,Sedan,26,18,617,2000,Cheap,0,0,0,1
40,Mercedes-Benz,190-Class,1993,regular unleaded,158.0,6.0,MANUAL,4.0,Compact,Sedan,25,17,617,2000,Cheap,0,0,0,1
41,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,2.0,Compact,Coupe,35,23,3916,32850,Cheap,0,0,0,1
42,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,2.0,Compact,Convertible,34,23,3916,38650,Cheap,0,0,0,1
43,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,2.0,Compact,Convertible,31,20,3916,48750,Cheap,0,0,0,1
44,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,2.0,Compact,Coupe,35,23,3916,34850,Cheap,1,0,0,0
45,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,2.0,Compact,Convertible,34,22,3916,40650,Cheap,1,0,0,0
46,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,2.0,Compact,Coupe,31,20,3916,44150,Cheap,0,0,0,1
47,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,2.0,Compact,Coupe,34,22,3916,32850,Cheap,0,0,0,1
48,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,2.0,Compact,Coupe,30,20,3916,46150,Cheap,1,0,0,0
49,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,2.0,Compact,Convertible,30,20,3916,50750,Cheap,0,0,0,1
50,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,2.0,Compact,Coupe,31,21,3916,46450,Cheap,1,0,0,0
51,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,2.0,Compact,Convertible,32,21,3916,49050,Cheap,0,0,0,1
52,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,2.0,Compact,Convertible,32,21,3916,51050,Cheap,1,0,0,0
53,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,2.0,Compact,Coupe,32,21,3916,44450,Cheap,0,0,0,1
54,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,2.0,Compact,Convertible,34,23,3916,38950,Cheap,0,0,0,1
55,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,2.0,Compact,Coupe,35,24,3916,33150,Cheap,0,0,0,1
56,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,2.0,Compact,Coupe,33,24,3916,35150,Cheap,1,0,0,0
57,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,2.0,Compact,Convertible,33,23,3916,40950,Cheap,1,0,0,0
58,Audi,200,1990,regular unleaded,162.0,5.0,AUTOMATIC,4.0,Midsize,Sedan,20,16,3105,2000,Cheap,0,0,1,0
59,Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,4.0,Midsize,Wagon,22,15,3105,2000,Cheap,1,0,0,0
60,Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,4.0,Midsize,Sedan,23,15,3105,2000,Cheap,1,0,0,0
61,Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,4.0,Midsize,Sedan,22,16,3105,2000,Cheap,1,0,0,0
62,Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,4.0,Midsize,Wagon,22,16,3105,2000,Cheap,1,0,0,0
63,Audi,200,1991,regular unleaded,162.0,5.0,AUTOMATIC,4.0,Midsize,Sedan,20,16,3105,2000,Cheap,0,0,1,0
64,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,25170,Cheap,0,0,1,0
65,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,23950,Cheap,0,0,1,0
66,Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,29,18,1013,29370,Cheap,1,0,0,0
67,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,21995,Cheap,0,0,1,0
68,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,26625,Cheap,0,0,1,0
69,Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,29,18,1013,30825,Cheap,1,0,0,0
70,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,21995,Cheap,0,0,1,0
71,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,27795,Cheap,0,0,1,0
72,Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,29,18,1013,31785,Cheap,1,0,0,0
73,Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,29,18,1013,29905,Cheap,1,0,0,0
74,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,22490,Cheap,0,0,1,0
75,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,27570,Cheap,0,0,1,0
76,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,25690,Cheap,0,0,1,0
77,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,24490,Cheap,0,0,1,0
78,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,28,18,1013,29905,Cheap,1,0,0,0
79,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,28,18,1013,31785,Cheap,1,0,0,0
80,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,26685,Cheap,0,0,1,0
81,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,22490,Cheap,0,0,1,0
82,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,25690,Cheap,0,0,1,0
83,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,28,18,1013,30900,Cheap,1,0,0,0
84,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,27795,Cheap,0,0,1,0
85,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,21995,Cheap,0,0,1,0
86,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,23,1013,24490,Cheap,0,0,1,0
89,Nissan,200SX,1996,regular unleaded,140.0,4.0,MANUAL,2.0,Compact,Coupe,29,21,2009,2000,Cheap,0,0,1,0
90,Nissan,200SX,1997,regular unleaded,140.0,4.0,MANUAL,2.0,Compact,Coupe,29,21,2009,2000,Cheap,0,0,1,0
